arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
gauss4242,nullold,10,125,0.371363,0.369282,0.376160,0.372868,25.0
gauss4242,nullold,11,125,0.367467,0.361532,0.372506,0.366449,25.0
gauss4243,clean_last,0,125,0.370240,0.364020,0.375293,0.370566,25.0
gauss4243,clean_last,1,125,0.369312,0.364555,0.375988,0.370265,25.0
gauss4243,clean_last,2,125,0.369613,0.363822,0.378975,0.370555,25.0
gauss4243,clean_last,3,125,0.371315,0.365998,0.377533,0.371838,25.0
gauss4243,clean_last,4,125,0.371838,0.364724,0.377709,0.370802,25.0
gauss4243,clean_last,5,125,0.369731,0.363710,0.374741,0.369371,25.0
gauss4243,clean_last,6,125,0.368114,0.362871,0.374035,0.368401,25.0
gauss4243,clean_last,7,125,0.370433,0.363164,0.375557,0.370261,25.0
gauss4243,clean_last,8,125,0.369980,0.363802,0.377607,0.370221,25.0
gauss4243,clean_last,9,125,0.368033,0.359274,0.374451,0.367732,25.0
gauss4243,clean_last,10,125,0.364541,0.357603,0.372049,0.364539,25.0
gauss4243,clean_last,11,125,0.369394,0.362901,0.374953,0.368924,25.0
gauss4243,clean_mean,0,125,0.367367,0.363420,0.373145,0.368406,25.0
gauss4243,clean_mean,1,125,0.369864,0.365377,0.374308,0.369691,25.0
gauss4243,clean_mean,2,125,0.365761,0.362653,0.369034,0.365776,25.0
gauss4243,clean_mean,3,125,0.365620,0.362632,0.370360,0.366155,25.0
gauss4243,clean_mean,4,125,0.365960,0.362262,0.370284,0.366359,25.0
gauss4243,clean_mean,5,125,0.365392,0.362864,0.369028,0.365813,25.0
gauss4243,clean_mean,6,125,0.364317,0.361817,0.368152,0.365003,25.0
gauss4243,clean_mean,7,125,0.365497,0.361857,0.368019,0.365505,25.0
gauss4243,clean_mean,8,125,0.366380,0.362731,0.370133,0.366548,25.0
gauss4243,clean_mean,9,125,0.367785,0.364092,0.371216,0.367634,25.0
gauss4243,clean_mean,10,125,0.366133,0.361757,0.369275,0.365573,25.0
gauss4243,clean_mean,11,125,0.366160,0.360488,0.371058,0.365601,25.0
gauss4243,directions,0,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,1,2,0.387563,0.384467,0.390659,0.387563,25.0
